account,bond,claimable,pending
1,fox,445010773744776644771,40455524885888785888318
2,fox,0,0
3,fox,0,0
4,fox,309646620243682205837,5920585473110558429023
5,fox,0,0
6,fox,604192371775484849244,154921120968073038267880
7,fox,0,0
8,fox,0,0
9,fox,445699353192413356098,81036246034984246563273
10,fox,0,0
